schoolCode,schoolName,contactNumber
AN001,Don Bosco School Lalpahar  Chouldari  South Andaman  India,"9476087204
"
AP001,Paramjyoti Public School Near Red Bridge  Amalapuram  East Godavari  India,"8019030155
"
AP002,Vijayavani Residential School Vijaya Vani Nagar  ChowdepalleChowdepalle  Chittoor  India,"08581-208075
"
AP003,Loyola Public School NallapaduLoyola Nagar  Guntur  India,"0863-2291034
"
AP004,Little Flower English Medium School Vidya Nagar  Vidya Nagar  Guntur  India,"0863-2350535
"
AP005,The Hyderabad Public School Hyderabad  Begumpet  Hyderabad  India,"040-67590031
"
AP006,St. George's Grammar School Abid Road  Abid Road  Hyderabad  India,"040-23232213
"
AP007,St. George's Girls' Grammar SchoolKing Kothi Road  Hyderabad  India,"040-23232447
"
AP008,Vidyaranya High School For Boys & Girls Green Gates  Saifabad  Hyderabad  India,"040-23235146
"
AP009,Nalanda Public School 12 - 2 - 712  Nanalnagar  Mehdipatnam  Hyderabad  India,"4023513913
"
AP010,Nasr School 6 - 2 - 905  Khushnuma  Khairatabad  Hyderabad  India,"040-23307555
"
AP015,St. Joseph's Public School 3-5-781 &781 /a  King Kothi Road  Hyderabad  India,"040-23235665
"
AP016,Sri Sai Public School 8 / 25  Habsiguda Hyderabad  India,"040-27172691
"
AP017,Seventh Day Adventist High School Chapel Road  Chapel Road  Hyderabad  India,"040-23203611
"
AP018,Johnson Grammar School H. No.- 16/a  Mallapur RoadHyderabad  Rangareddy  India,"040-27173333
"
AP021,St. Martin's High School Ferozguda  Bowenpally  Hyderabad  India,"040-23774208
"
AP022,Gitanjali SchoolBegumpet  Hyderabad  India,"040-27768395
"
AP023,Niraj Public School 6 - 3 - 864  Saadat Manzil  Ameerpet  Hyderabad  India,"040-23413543
"
AP024,St. Joseph's Convent School Church Square  JagannaickpurKakinada  East Godavari  India,"0884-2384664
"
AP026,St. Francis E. M. B. High School Chilakalapudi  ParasupetaMachilipatnam  Krishna  India,"08672-250742
"
AP028,Vasishta School Post Box No. 29  Vidya NagarMadanapalle  Chittoor  India,"9603704302
"
AP029,Flaiz Memorial Higher Secondary School Of S. D. A. Rustumbada  Narsapur  West Godavari  India,"08814-273905
"
AP030,Simhapuri Public School Kommare Pudi (post) Nellore  India,"9391088905
"
AP032,Ongole Public School Gauthama Nagar  Mangamur Road  Ongole  Prakasam  India,"08592-233284
"
AP033,S. D. A. Higher Secondary School Krishna  Nuzvid  Krishna  India,"08656-232302
"
AP034,St. Ann's Convent School P.O. Pathapatnam Srikakulam  India,"9493508877
"
AP035,St. Ann's School Nidubrolu P. O.  Ponnur  Guntur  India,"08643-242724
"
AP036,St. Ann's School Gurukulam Road  Rajahmundry  East Godavari  India,"0883-2420479
"
AP037,Sri Sathya Sai Gurukulam E.M. School Rajahmundry  Rajahmundry  East Godavari  India,"0883-2430989
"
AP038,Rishi Valley School Rishi Valley  Madanapalle  Chittoor  India,"9493547322
"
AP039,St. Ann's High School S.d. Road  Secunderabad  Hyderabad  India,"040-27701318
"
AP040,Siva Sivani Public School Devar Yamjal  Via Hakimpet  Secunderabad  Hyderabad  India,"08418-248353
"
AP042,Sherwood Public School Petbasheerabad  Jeedimetla Village  Secunderabad  Hyderabad  India,"040-64512584
"
AP043,St. John's Parish School Thompson Street  Near Old Post Office  Visakhapatnam  India,"0891-2561334
"
AP044,Timpany SchoolAseelmetta  Visakhapatnam  India,"0891-2755887
"
AP045,St. Aloysius Anglo - Indian High School Old Post Office Visakhapatnam  India,"0891-2562837
"
AP046,St. Joseph's Girls' High School Rs  Waltair R.S.  Visakhapatnam  India,"0891-2558279
"
AP047,St. Joseph's Sec. School Opposite H. P. C. L. Gate  Malkapuram  Visakhapatnam  India,"0891-2741632
"
AP048,Alwardas Public School Sector 10  M.V .P. Colony  Visakhapatnam  India,"0891-2552718
"
AP049,St. Ann's Eng. Med. School Nad Kotha RoadButchirajupalem  Visakhapatnam  India,"0891-2571037
"
AP050,Kotak Salesian School Chinna Waltair Main Road Visakhapatnam  India,"0891-2754826
"
AP051,Seventh Day Adventist High School Bunder Road  Vijayawada  Krishna  India,"0866-2572284
"
AP052,Spring Dales Public School 2 / 72  High School Road  New Gajuwaka  Visakhapatnam  India,"0891-2517485
"
AP053,Good Shepherd E.M. SchoolAnakapalle  Visakhapatnam  India,"08924-230777
"
AP054,St. Ann's  E. M.  School Paderu P. O. Visakhapatnam  India,"08935-250420
"
AP055,Bhuvanagiri Public School Krishnaveni Nagar  Rly. Stn. KodurKukkaladoddi  Kadapa  India,"9494834476
"
AP056,St. Ann's School Mariampet  Chirala  Prakasam  India,"08594-230156
"
AP057,St. Joseph's High SchoolConvent Road  Srikakulam  India,"08942-225194
"
AP058,Nava Jeevan Public School Charity Center  Bhimli P.o. Box No. 3Dora Thota  Visakhapatnam  India,"08933-200083
"
AP059,Shantiniketan English Medium School Vidya Nagar  Kutagulla  Kadiri  Anantapur  India,"08494-224329
"
AP060,Mukarram Jah School Purani Haveli  Hyderabad  Hyderabad  India,"040-24564494
"
AP062,Queen Mary's School Super Bazar Road  Prodatur  Kadapa  India,"08564-252620
"
AP064,Fort Catholic Girls' School Old Post Office  Fort  Visakhapatnam  India,"0891-2502981
"
AP065,Samaritan School 37 / 93 / 56  Mathura Nagar  R.K. PuramSecunderabad  Hyderabad  India,"040-27112513
"
AP066,St. Joseph's High School Yendapallivalsa  Araku R.S.  Visakhapatnam  India,"08936-249005
"
AP067,International School 8-1-300 /1  Shaikpet  Towli Chowki  Hyderabad  India,"040-23561085
"
AP068,Redfields School Shanthi Nagar  MusunurKavali  Nellore  India,"08626-297499
"
AP069,The Noble School 80  Jubilee Hills  Road No. 9  Hyderabad  India,"040-23520077
"
AP071,Chaitanya Vidyalaya 1 - 2 - 594Domalguda  Hyderabad  Hyderabad  India,"040-65502579
"
AP072,Siva Sivani Public School S.no.34(p)  66(p&90)(p)  Sector IX  Visakhapatnam  India,"0891-2550192
"
AP076,Vikasa Vidya Vanam School Poranki  Krishna  India,"0866-2582494
"
AP077,Kalpa School 8 - 2 - 589  Road No. 8  Banjara Hills  Hyderabad  India,"040-23350164
"
AP078,St. Ann's School Ajitsingh Nagar  Vijayawada  Krishna  India,"0866-2400884
"
AP079,Emmaus - Swiss Referral Hospital School P.o. Palamaner  L.S. Farm  Chittoor  India,"9885011660
"
AP080,Bethany School D.no. 10 - 50 - 29  Waltair Main Road  Visakhapatnam  India,"0891-2706121
"
